"Step","BALNMP_1e_50r_2cl_FAWE - round_accuracy","BALNMP_1e_50r_2cl_FAWE - round_accuracy__MIN","BALNMP_1e_50r_2cl_FAWE - round_accuracy__MAX"
"4","0.6453115899825277","0.6453115899825277","0.6453115899825277"
"9","0.6453115899825277","0.6453115899825277","0.6453115899825277"
"14","0.6453115899825277","0.6453115899825277","0.6453115899825277"
"19","0.6453115899825277","0.6453115899825277","0.6453115899825277"
"24","0.6453115899825277","0.6453115899825277","0.6453115899825277"
"29","0.6453115899825277","0.6453115899825277","0.6453115899825277"
"34","0.6453115899825277","0.6453115899825277","0.6453115899825277"
"39","0.6453115899825277","0.6453115899825277","0.6453115899825277"
"44","0.6453115899825277","0.6453115899825277","0.6453115899825277"
"49","0.6552125800815376","0.6552125800815376","0.6552125800815376"
"54","0.6502620850320326","0.6502620850320326","0.6502620850320326"
"59","0.6502620850320326","0.6502620850320326","0.6502620850320326"
"64","0.6650650359153563","0.6650650359153563","0.6650650359153563"
"69","0.6601630751310426","0.6601630751310426","0.6601630751310426"
"74","0.6698699281692875","0.6698699281692875","0.6698699281692875"
"79","0.6600660066006601","0.6600660066006601","0.6600660066006601"
"84","0.6601630751310426","0.6601630751310426","0.6601630751310426"
"89","0.6698699281692875","0.6698699281692875","0.6698699281692875"
"94","0.6897204426324985","0.6897204426324985","0.6897204426324985"
"99","0.6700640652300525","0.6700640652300525","0.6700640652300525"
"104","0.6847214133178023","0.6847214133178023","0.6847214133178023"
"109","0.6600174723354688","0.6600174723354688","0.6600174723354688"
"114","0.6698699281692875","0.6698699281692875","0.6698699281692875"
"119","0.6848184818481848","0.6848184818481848","0.6848184818481848"
"124","0.6698213939040962","0.6698213939040962","0.6698213939040962"
"129","0.7043777907202484","0.7043777907202484","0.7043777907202484"
"134","0.7192292758687633","0.7192292758687633","0.7192292758687633"
"139","0.719180741603572","0.719180741603572","0.719180741603572"
"144","0.6699184624344787","0.6699184624344787","0.6699184624344787"
"149","0.729081731702582","0.729081731702582","0.729081731702582"
"154","0.7242283051834595","0.7242283051834595","0.7242283051834595"
"159","0.7291788002329644","0.7291788002329644","0.7291788002329644"
"164","0.714181712288876","0.714181712288876","0.714181712288876"
"169","0.7092797515045621","0.7092797515045621","0.7092797515045621"
"174","0.7192778101339545","0.7192778101339545","0.7192778101339545"
"179","0.6946224034168123","0.6946224034168123","0.6946224034168123"
"184","0.6898660454280723","0.6898660454280723","0.6898660454280723"
"189","0.7142302465540671","0.7142302465540671","0.7142302465540671"
"194","0.7094253543001359","0.7094253543001359","0.7094253543001359"
"199","0.7142787808192583","0.7142787808192583","0.7142787808192583"
"204","0.7192778101339545","0.7192778101339545","0.7192778101339545"
"209","0.6699184624344787","0.6699184624344787","0.6699184624344787"
"214","0.7043292564550573","0.7043292564550573","0.7043292564550573"
"219","0.7389341875364007","0.7389341875364007","0.7389341875364007"
"224","0.6847214133178023","0.6847214133178023","0.6847214133178023"
"229","0.6798679867986799","0.6798679867986799","0.6798679867986799"
"234","0.7042807221898661","0.7042807221898661","0.7042807221898661"
"239","0.719180741603572","0.719180741603572","0.719180741603572"
"244","0.6944768006212386","0.6944768006212386","0.6944768006212386"
"249","0.7042807221898661","0.7042807221898661","0.7042807221898661"
