"Step","BALNMP_1e_50r_2cl_FAWE - local_eval_accuracy","BALNMP_1e_50r_2cl_FAWE - local_eval_accuracy__MIN","BALNMP_1e_50r_2cl_FAWE - local_eval_accuracy__MAX"
"1","0.6470588235294118","0.6470588235294118","0.6470588235294118"
"3","0.6435643564356436","0.6435643564356436","0.6435643564356436"
"6","0.6470588235294118","0.6470588235294118","0.6470588235294118"
"8","0.6435643564356436","0.6435643564356436","0.6435643564356436"
"11","0.6470588235294118","0.6470588235294118","0.6470588235294118"
"13","0.6435643564356436","0.6435643564356436","0.6435643564356436"
"16","0.6470588235294118","0.6470588235294118","0.6470588235294118"
"18","0.6435643564356436","0.6435643564356436","0.6435643564356436"
"21","0.6470588235294118","0.6470588235294118","0.6470588235294118"
"23","0.6435643564356436","0.6435643564356436","0.6435643564356436"
"26","0.6470588235294118","0.6470588235294118","0.6470588235294118"
"28","0.6435643564356436","0.6435643564356436","0.6435643564356436"
"31","0.6470588235294118","0.6470588235294118","0.6470588235294118"
"33","0.6435643564356436","0.6435643564356436","0.6435643564356436"
"36","0.6470588235294118","0.6470588235294118","0.6470588235294118"
"38","0.6435643564356436","0.6435643564356436","0.6435643564356436"
"41","0.6470588235294118","0.6470588235294118","0.6470588235294118"
"43","0.6435643564356436","0.6435643564356436","0.6435643564356436"
"46","0.6470588235294118","0.6470588235294118","0.6470588235294118"
"48","0.6633663366336634","0.6633663366336634","0.6633663366336634"
"51","0.6470588235294118","0.6470588235294118","0.6470588235294118"
"53","0.6534653465346535","0.6534653465346535","0.6534653465346535"
"56","0.6470588235294118","0.6470588235294118","0.6470588235294118"
"58","0.6534653465346535","0.6534653465346535","0.6534653465346535"
"61","0.6568627450980392","0.6568627450980392","0.6568627450980392"
"63","0.6732673267326733","0.6732673267326733","0.6732673267326733"
"66","0.6470588235294118","0.6470588235294118","0.6470588235294118"
"68","0.6732673267326733","0.6732673267326733","0.6732673267326733"
"71","0.6862745098039216","0.6862745098039216","0.6862745098039216"
