"Step","CFR_300r_1e_FAWE - round_loss","CFR_300r_1e_FAWE - round_loss__MIN","CFR_300r_1e_FAWE - round_loss__MAX"
"4","2.341186945411292","2.341186945411292","2.341186945411292"
"9","1.9870283840732141","1.9870283840732141","1.9870283840732141"
"14","1.852613301101056","1.852613301101056","1.852613301101056"
"19","1.7236505587669937","1.7236505587669937","1.7236505587669937"
"24","1.6781672225757078","1.6781672225757078","1.6781672225757078"
"29","1.6062172136523507","1.6062172136523507","1.6062172136523507"
"34","1.5748684253882277","1.5748684253882277","1.5748684253882277"
"39","1.51300520720807","1.51300520720807","1.51300520720807"
"44","1.5064074867828325","1.5064074867828325","1.5064074867828325"
"49","1.4504016685214909","1.4504016685214909","1.4504016685214909"
"54","1.4010063829747113","1.4010063829747113","1.4010063829747113"
"59","1.4056725651025772","1.4056725651025772","1.4056725651025772"
"64","1.3585164458914236","1.3585164458914236","1.3585164458914236"
"69","1.2934201058338988","1.2934201058338988","1.2934201058338988"
"74","1.2850380699065598","1.2850380699065598","1.2850380699065598"
"79","1.2444616390222851","1.2444616390222851","1.2444616390222851"
"84","1.2137856280261818","1.2137856280261818","1.2137856280261818"
"89","1.2067061076787384","1.2067061076787384","1.2067061076787384"
"94","1.1554750358177857","1.1554750358177857","1.1554750358177857"
"99","1.1093940916047855","1.1093940916047855","1.1093940916047855"
"104","1.0941804896362803","1.0941804896362803","1.0941804896362803"
"109","1.0694462160833855","1.0694462160833855","1.0694462160833855"
"114","1.047982651909644","1.047982651909644","1.047982651909644"
"119","1.0325854214077645","1.0325854214077645","1.0325854214077645"
"124","1.0033468941057269","1.0033468941057269","1.0033468941057269"
"129","0.9878273951736363","0.9878273951736363","0.9878273951736363"
"134","0.9390342005274512","0.9390342005274512","0.9390342005274512"
"139","0.9389595072716475","0.9389595072716475","0.9389595072716475"
"144","0.9414401403204962","0.9414401403204962","0.9414401403204962"
"149","0.9096103921871295","0.9096103921871295","0.9096103921871295"
"154","0.8912453267045997","0.8912453267045997","0.8912453267045997"
"159","0.8855662435631861","0.8855662435631861","0.8855662435631861"
"164","0.8575701088729231","0.8575701088729231","0.8575701088729231"
"169","0.8565942540087483","0.8565942540087483","0.8565942540087483"
"174","0.8414363393729383","0.8414363393729383","0.8414363393729383"
"179","0.8247370753775943","0.8247370753775943","0.8247370753775943"
"184","0.8042308679697189","0.8042308679697189","0.8042308679697189"
"189","0.8087782781909812","0.8087782781909812","0.8087782781909812"
"194","0.778496884486892","0.778496884486892","0.778496884486892"
"199","0.75853998222473","0.75853998222473","0.75853998222473"
"204","0.7548580690371719","0.7548580690371719","0.7548580690371719"
"209","0.7535104496743191","0.7535104496743191","0.7535104496743191"
"214","0.7361607049507174","0.7361607049507174","0.7361607049507174"
"219","0.7219260078431531","0.7219260078431531","0.7219260078431531"
"224","0.7106616905128413","0.7106616905128413","0.7106616905128413"
"229","0.7075912722132423","0.7075912722132423","0.7075912722132423"
"234","0.6942770745266568","0.6942770745266568","0.6942770745266568"
"239","0.6729194515130736","0.6729194515130736","0.6729194515130736"
"244","0.6648670872673392","0.6648670872673392","0.6648670872673392"
"249","0.6546277547763153","0.6546277547763153","0.6546277547763153"
"254","0.646499184468253","0.646499184468253","0.646499184468253"
"259","0.6382211330770091","0.6382211330770091","0.6382211330770091"
"264","0.6335880895229904","0.6335880895229904","0.6335880895229904"
"269","0.6086077009412375","0.6086077009412375","0.6086077009412375"
"274","0.594647647982294","0.594647647982294","0.594647647982294"
"279","0.5884114098311826","0.5884114098311826","0.5884114098311826"
"284","0.5896504504436797","0.5896504504436797","0.5896504504436797"
"289","0.5725317088548433","0.5725317088548433","0.5725317088548433"
"294","0.5597154423594475","0.5597154423594475","0.5597154423594475"
"299","0.5517609298906543","0.5517609298906543","0.5517609298906543"
"304","0.5518769134174694","0.5518769134174694","0.5518769134174694"
"309","0.5430578524246812","0.5430578524246812","0.5430578524246812"
"314","0.5426968002522534","0.5426968002522534","0.5426968002522534"
"319","0.5194995824924924","0.5194995824924924","0.5194995824924924"
"324","0.5179682571271604","0.5179682571271604","0.5179682571271604"
"329","0.5129952495917678","0.5129952495917678","0.5129952495917678"
"334","0.502219970761375","0.502219970761375","0.502219970761375"
"339","0.4992974995720115","0.4992974995720115","0.4992974995720115"
"344","0.5011905748397112","0.5011905748397112","0.5011905748397112"
"349","0.49163314285264775","0.49163314285264775","0.49163314285264775"
"354","0.4729311615228653","0.4729311615228653","0.4729311615228653"
"359","0.4701344329355792","0.4701344329355792","0.4701344329355792"
"364","0.4774247748269276","0.4774247748269276","0.4774247748269276"
"369","0.464731865985827","0.464731865985827","0.464731865985827"
