"Step","CFR_300r_1e_FAWE - round_accuracy","CFR_300r_1e_FAWE - round_accuracy__MIN","CFR_300r_1e_FAWE - round_accuracy__MAX"
"634","0.876","0.876","0.876"
"639","0.8768","0.8768","0.8768"
"644","0.877","0.877","0.877"
"649","0.883","0.883","0.883"
"654","0.8738","0.8738","0.8738"
"659","0.875","0.875","0.875"
"664","0.875","0.875","0.875"
"669","0.877","0.877","0.877"
"674","0.876","0.876","0.876"
"679","0.8826","0.8826","0.8826"
"684","0.8788","0.8788","0.8788"
"689","0.8764000000000001","0.8764000000000001","0.8764000000000001"
"694","0.8766","0.8766","0.8766"
"699","0.8837999999999999","0.8837999999999999","0.8837999999999999"
"704","0.8826","0.8826","0.8826"
"709","0.8857999999999999","0.8857999999999999","0.8857999999999999"
"714","0.8752","0.8752","0.8752"
"719","0.8815999999999999","0.8815999999999999","0.8815999999999999"
"724","0.884","0.884","0.884"
"729","0.8835999999999999","0.8835999999999999","0.8835999999999999"
"734","0.8818","0.8818","0.8818"
"739","0.8846","0.8846","0.8846"
"744","0.8782000000000001","0.8782000000000001","0.8782000000000001"
"749","0.8835999999999999","0.8835999999999999","0.8835999999999999"
"754","0.886","0.886","0.886"
"759","0.8854","0.8854","0.8854"
"764","0.8817999999999999","0.8817999999999999","0.8817999999999999"
"769","0.8882","0.8882","0.8882"
"774","0.887","0.887","0.887"
"779","0.8814","0.8814","0.8814"
"784","0.8842","0.8842","0.8842"
"789","0.886","0.886","0.886"
"794","0.8828","0.8828","0.8828"
"799","0.8866","0.8866","0.8866"
"804","0.8835999999999999","0.8835999999999999","0.8835999999999999"
"809","0.8886000000000001","0.8886000000000001","0.8886000000000001"
"814","0.8877999999999999","0.8877999999999999","0.8877999999999999"
"819","0.8846","0.8846","0.8846"
"824","0.8826","0.8826","0.8826"
"829","0.8822000000000001","0.8822000000000001","0.8822000000000001"
"834","0.8877999999999999","0.8877999999999999","0.8877999999999999"
"839","0.8842000000000001","0.8842000000000001","0.8842000000000001"
"844","0.8828","0.8828","0.8828"
"849","0.8832","0.8832","0.8832"
"854","0.8792","0.8792","0.8792"
"859","0.887","0.887","0.887"
"864","0.8857999999999999","0.8857999999999999","0.8857999999999999"
"869","0.8872","0.8872","0.8872"
"874","0.8917999999999999","0.8917999999999999","0.8917999999999999"
"879","0.8896","0.8896","0.8896"
"884","0.8822","0.8822","0.8822"
"889","0.8882","0.8882","0.8882"
"894","0.8917999999999999","0.8917999999999999","0.8917999999999999"
"899","0.8842","0.8842","0.8842"
"904","0.8842","0.8842","0.8842"
"909","0.8902","0.8902","0.8902"
"914","0.8864000000000001","0.8864000000000001","0.8864000000000001"
"919","0.8862","0.8862","0.8862"
"924","0.8872","0.8872","0.8872"
"929","0.8922","0.8922","0.8922"
"934","0.8864000000000001","0.8864000000000001","0.8864000000000001"
"939","0.8874","0.8874","0.8874"
"944","0.8922","0.8922","0.8922"
"949","0.8866","0.8866","0.8866"
"954","0.8884","0.8884","0.8884"
"959","0.8914","0.8914","0.8914"
"964","0.8894","0.8894","0.8894"
"969","0.8922","0.8922","0.8922"
"974","0.8906000000000001","0.8906000000000001","0.8906000000000001"
"979","0.8902","0.8902","0.8902"
"984","0.8897999999999999","0.8897999999999999","0.8897999999999999"
"989","0.8855999999999999","0.8855999999999999","0.8855999999999999"
"994","0.8844000000000001","0.8844000000000001","0.8844000000000001"
"999","0.8884000000000001","0.8884000000000001","0.8884000000000001"
"1004","0.888","0.888","0.888"
"1009","0.8888","0.8888","0.8888"
"1014","0.885","0.885","0.885"
"1019","0.8876","0.8876","0.8876"
"1024","0.8942","0.8942","0.8942"
"1029","0.8944000000000001","0.8944000000000001","0.8944000000000001"
"1034","0.8888","0.8888","0.8888"
"1039","0.8876","0.8876","0.8876"
"1044","0.8864000000000001","0.8864000000000001","0.8864000000000001"
"1049","0.8916","0.8916","0.8916"
"1054","0.8962","0.8962","0.8962"
"1059","0.894","0.894","0.894"
"1064","0.8924","0.8924","0.8924"
"1069","0.8917999999999999","0.8917999999999999","0.8917999999999999"
"1074","0.8932","0.8932","0.8932"
"1079","0.8937999999999999","0.8937999999999999","0.8937999999999999"
"1084","0.8914","0.8914","0.8914"
"1089","0.8964000000000001","0.8964000000000001","0.8964000000000001"
"1094","0.8928","0.8928","0.8928"
"1099","0.8936","0.8936","0.8936"
"1104","0.8937999999999999","0.8937999999999999","0.8937999999999999"
"1109","0.8959999999999999","0.8959999999999999","0.8959999999999999"
"1114","0.8942","0.8942","0.8942"
"1119","0.8988","0.8988","0.8988"
"1124","0.8954","0.8954","0.8954"
"1129","0.8832","0.8832","0.8832"
"1134","0.8939999999999999","0.8939999999999999","0.8939999999999999"
"1139","0.8928","0.8928","0.8928"
"1144","0.8928","0.8928","0.8928"
"1149","0.8882","0.8882","0.8882"
"1154","0.8912","0.8912","0.8912"
"1159","0.8886000000000001","0.8886000000000001","0.8886000000000001"
"1164","0.9002","0.9002","0.9002"
"1169","0.8974","0.8974","0.8974"
"1174","0.895","0.895","0.895"
"1179","0.8954","0.8954","0.8954"
"1184","0.8894","0.8894","0.8894"
"1189","0.8954","0.8954","0.8954"
"1194","0.8878","0.8878","0.8878"
"1199","0.8926000000000001","0.8926000000000001","0.8926000000000001"
"1204","0.8966000000000001","0.8966000000000001","0.8966000000000001"
"1209","0.8936","0.8936","0.8936"
"1214","0.898","0.898","0.898"
"1219","0.8957999999999999","0.8957999999999999","0.8957999999999999"
"1224","0.8904","0.8904","0.8904"
"1229","0.8888","0.8888","0.8888"
"1234","0.8922","0.8922","0.8922"
"1239","0.8952","0.8952","0.8952"
"1244","0.8968","0.8968","0.8968"
"1249","0.8997999999999999","0.8997999999999999","0.8997999999999999"
"1254","0.8872","0.8872","0.8872"
"1259","0.8966","0.8966","0.8966"
"1264","0.9006000000000001","0.9006000000000001","0.9006000000000001"
"1269","0.8904","0.8904","0.8904"
"1274","0.8956","0.8956","0.8956"
"1279","0.9036","0.9036","0.9036"
"1284","0.9012","0.9012","0.9012"
"1289","0.8978","0.8978","0.8978"
"1294","0.894","0.894","0.894"
"1299","0.9017999999999999","0.9017999999999999","0.9017999999999999"
"1304","0.895","0.895","0.895"
"1309","0.9024","0.9024","0.9024"
"1314","0.8932","0.8932","0.8932"
"1319","0.892","0.892","0.892"
"1324","0.9016","0.9016","0.9016"
"1329","0.8996","0.8996","0.8996"
"1334","0.8968","0.8968","0.8968"
"1339","0.9022","0.9022","0.9022"
"1344","0.8977999999999999","0.8977999999999999","0.8977999999999999"
"1349","0.8874","0.8874","0.8874"
"1354","0.901","0.901","0.901"
"1359","0.9026000000000001","0.9026000000000001","0.9026000000000001"
"1364","0.894","0.894","0.894"
"1369","0.902","0.902","0.902"
"1374","0.8977999999999999","0.8977999999999999","0.8977999999999999"
"1379","0.8946000000000001","0.8946000000000001","0.8946000000000001"
"1384","0.899","0.899","0.899"
"1389","0.9014","0.9014","0.9014"
"1394","0.8926000000000001","0.8926000000000001","0.8926000000000001"
"1399","0.9012","0.9012","0.9012"
"1404","0.901","0.901","0.901"
"1409","0.8842","0.8842","0.8842"
"1414","0.8942","0.8942","0.8942"
"1419","0.8962","0.8962","0.8962"
"1424","0.8982","0.8982","0.8982"
"1429","0.8988","0.8988","0.8988"
"1434","0.8972","0.8972","0.8972"
"1439","0.8986000000000001","0.8986000000000001","0.8986000000000001"
"1444","0.9028","0.9028","0.9028"
"1449","0.8986","0.8986","0.8986"
"1454","0.8986000000000001","0.8986000000000001","0.8986000000000001"
"1459","0.8972","0.8972","0.8972"
"1464","0.8994","0.8994","0.8994"
"1469","0.903","0.903","0.903"
"1474","0.9037999999999999","0.9037999999999999","0.9037999999999999"
"1479","0.901","0.901","0.901"
"1484","0.899","0.899","0.899"
"1489","0.905","0.905","0.905"
"1494","0.9068","0.9068","0.9068"
"1499","0.8962","0.8962","0.8962"
